[2026-04-22 01:05:43] [INFO] [plate_detector] Placa detectada (fallback): x=341, y=293, w=92, h=37
[2026-04-22 01:05:44] [INFO] [plate_detector] Placa detectada (fallback): x=335, y=255, w=118, h=30
[2026-04-22 01:05:46] [INFO] [plate_detector] Placa detectada (fallback): x=106, y=292, w=78, h=37
[2026-04-22 01:05:48] [INFO] [plate_detector] Placa detectada (fallback): x=302, y=232, w=71, h=29
[2026-04-22 01:05:49] [INFO] [plate_detector] Placa detectada (fallback): x=294, y=238, w=89, h=27
[2026-04-22 01:05:52] [INFO] [plate_detector] Placa detectada (fallback): x=106, y=292, w=70, h=33
[2026-04-22 01:05:55] [INFO] [plate_detector] Placa detectada (fallback): x=411, y=390, w=116, h=38
[2026-04-22 01:05:56] [INFO] [plate_detector] Placa detectada (fallback): x=424, y=394, w=105, h=41
[2026-04-22 01:05:58] [INFO] [plate_detector] Placa detectada en: x=112, y=196, w=121, h=60
[2026-04-22 01:05:59] [INFO] [plate_detector] Placa detectada en: x=107, y=200, w=125, h=56
[2026-04-22 01:06:01] [INFO] [plate_detector] Placa detectada en: x=104, y=208, w=76, h=50
[2026-04-22 01:06:02] [INFO] [plate_detector] Placa detectada en: x=109, y=208, w=79, h=50
[2026-04-22 01:06:03] [INFO] [plate_detector] Placa detectada en: x=111, y=208, w=85, h=50
[2026-04-22 01:06:04] [INFO] [plate_detector] Placa detectada en: x=104, y=178, w=160, h=86
[2026-04-22 01:06:05] [INFO] [plate_detector] Placa detectada en: x=104, y=176, w=161, h=88
[2026-04-22 01:06:09] [INFO] [plate_detector] Placa detectada (fallback): x=374, y=283, w=69, h=33
[2026-04-22 01:06:10] [INFO] [plate_detector] Placa detectada (fallback): x=65, y=292, w=105, h=47
[2026-04-22 01:06:12] [INFO] [plate_detector] Placa detectada (fallback): x=101, y=0, w=87, h=36
[2026-04-22 01:06:13] [INFO] [plate_detector] Placa detectada (fallback): x=314, y=297, w=95, h=43
[2026-04-22 01:06:15] [INFO] [plate_detector] Placa detectada en: x=83, y=301, w=209, h=136
[2026-04-22 01:06:18] [INFO] [plate_detector] Placa detectada (fallback): x=294, y=203, w=68, h=31
